Surname,Awards,Education,Dblp
Aho,2,Education information not found,0
Allen,3,"Allen grew up on a farm in Peru, New York, near Lake Champlain, as the oldest of six children. Her father was a farmer, and her mother an elementary schoolteacher.[9] Her early elementary education took place in a one-room school house a mile away from her home, and she later attended a local high school.[10] She graduated from The New York State College for Teachers (now part of the University at Albany, SUNY) with a Bachelor of Science degree in mathematics in 1954 and began teaching school in Peru, New York.[10] After two years, she enrolled at the University of Michigan and earned a Master of Science degree in mathematics in 1957.[11]",21
Amdahl,3,"Amdahl was born to immigrant parents of Norwegian and Swedish descent in Flandreau, South Dakota. After serving in the Navy during World War II he completed a degree in engineering physics at South Dakota State University in 1948. He went on to study theoretical physics at the University of Wisconsin–Madison under Robert G. Sachs.[2][3][4] However, in 1950, Amdahl and Charles H. ""Charlie"" Davidson, a fellow PhD student in the Department of Physics, approached Harold A. Peterson with the idea of a digital computer.[5] Amdahl and Davidson gained the support of Peterson and fellow electrical engineering professor Vincent C. Rideout, who encouraged them to build a computer of their unique design.[6] Amdahl completed his doctorate at UW–Madison in 1952 with a thesis titled A Logical Design of an Intermediate Speed Digital Computer and created his first computer, the Wisconsin Integrally Synchronized Computer (WISC).[7] He then went straight from Wisconsin to a position at IBM in June 1952.",0
Anderson,0,"Anderson received a BA in mathematics from Wesleyan University, and MS and PhD degrees in mathematics and computer science from the University of Wisconsin–Madison. While in graduate school he published four research papers in computer graphics.[1]  His PhD research involved using enhanced attribute grammars to specify and implement communication protocols.[2]",0
Anthony,6,"Lisa Anthony earned her B.S. and M.S. in computer science with official concentrations in artificial intelligence, human-computer Interaction, and software engineering at Drexel University. Her M.S. thesis involved using genetic programming to evolve board evaluation functions for the strategy board game Acquire.[citation needed] As a summer graduate intern, she worked on the Collaborative Exploratory Search project at the Fuji-Xerox Palo Alto Laboratory (FXPAL).[citation needed] In 2008, she earned her Ph.D. from the Human Computer Interaction Institute in the School of Computer Science at Carnegie Mellon University in 2008. Her Ph.D. thesis focused on developing handwriting-based systems for algebra equation-solving.[citation needed]",77
Appel,1,Education information not found,0
Aragon,1,"Aragon received her B.S. in mathematics from the California Institute of Technology in 1982, M.S. from the University of California, Berkeley in 1987 and, Ph.D. in computer science from the same institution in 2004. For her doctoral studies, Aragon worked under the direction of Marti Hearst.[4]",81
Arden,0,Education information not found,0
Jones,0,"Angie Jones was born in New Orleans, Louisiana. She attended Marion Abramson Senior High School in New Orleans, LA. After graduating from high school, she enrolled as a Business major at Tennessee State University. However, after taking an introductory C++ course which sparked her interest in tech, she changed her major to Computer Science.[3][4] She has a Bachelor of Science in Computer Science from Tennessee State University. In 2010, she obtained a Master's Degree in Computer Science from North Carolina State University[5][6]",0
Arora,2,Education information not found,230
Asprey,0,Education information not found,0
Atanasoff,2,"Atanasoff was born on October 4, 1903, in Hamilton, New York to an electrical engineer and a school teacher.[6] Atanasoff's father, Ivan Atanasov, was of Bulgarian origin, born in 1876 in the village of Boyadzhik, close to Yambol, then in the Ottoman Empire. While Ivan Atanasov was still an infant, his own father was killed by Ottoman soldiers after the Bulgarian April Uprising.[7] In 1889, Ivan immigrated to the United States with his uncle. John's father later became an electrical engineer, whereas his mother, Iva Lucena Purdy (of mixed French and Irish ancestry), was a teacher of mathematics.[8][9][10] Atanasoff was raised in Brewster, Florida. Young Atanasoff's ambitions and intellectual pursuits were in part influenced by his parents, whose interests in the natural and applied sciences cultivated in him a sense of critical curiosity and confidence.[citation needed] At the age of nine, he learned to use a slide rule, followed shortly by the study of logarithms, and subsequently completed high school at Mulberry High School in two years.[citation needed] In 1925, Atanasoff received his Bachelor of Science degree in electrical engineering from the University of Florida.[6] He continued his education at Iowa State College and in 1926 earned a master's degree in mathematics.[6] He completed his formal education in 1930 by earning a PhD in theoretical physics from the University of Wisconsin–Madison with his thesis, The Dielectric Constant of Helium.[6] Upon completion of his doctorate, Atanasoff accepted an assistant professorship at Iowa State College in mathematics and physics.[citation needed]",3
Atre,0,"Atre was born in 1940 in India and grew up in Panvel, a village near Mumbai.[7][8] She earned a Master of Science from the University of Poona, studying mathematics and statistics.[9][10] During her education, she also studied languages, gaining proficiency in speaking five different languages.[1] Atre went on to begin her graduate studies in mathematics and physics at the University of Heidelberg, writing her thesis on astronomy.[9][10][11] Because she needed to make large scale calculations to develop her thesis, she began studying computer programming, which led to an interest in the field of computer technology.[10][12] During her studies, she was hired by IBM in 1967. When her student visa expired three and a half years later, Atre and her husband immigrated to the United States.[1][10]",0
Babbage,1,Education information not found,0
Bachman,5,Education information not found,0
Backhouse,0,"Backhouse was born and raised in the Thorntree district of Middlesbrough, an industrial town in the north-east of England. In 1959, he won a place at the then all-male Acklam Hall Grammar School before going on to Churchill College, Cambridge, in 1966. His doctorate (Ph.D.) was completed under the supervision of Jim Cunningham at Imperial College London.",73
Backus,9,Education information not found,1
Bacon,3,Education information not found,85
Bader,0,Education information not found,0
Bahl,17,"PhD, Electrical and Computer Engineering, University of Massachusetts, Amherst. Thesis title: Real-Time Visual Communications over Narrowband Wireless Radio Networks. Doctoral fellow at Digital Equipment Corporation., Master of Science, Electrical and Computer Engineering, University at Buffalo. Thesis title: Recognition of Handwritten Script: A Hidden Markov Model Approach., Bachelor of Science, Electrical and Computer Engineering, University at Buffalo. Thesis title: Conic Shape Detection Using a Non-Linearized Iterative Approach.",127
Barr,0,"Barr, Tony, Satisfaction Metrics and Methods of Implementation, 8,380,560, 2-19-2013, Cl. 705-7.38., Barr, Anthony J. and Mullin, Alexander G., Apparatus and method for maximizing utilization of elongated stock. 4,017,976, 4-19-1977, Cl. 235-151.l., Barr, Anthony J. and Mullin, Alexander G., Apparatus for optimizing the yield of usable pieces from boards and the like. 3,942,021, 3-2-76, Cl. 250-572.000., Barr, Anthony J. and Mullin, Alexander G., Apparatus and method for optimizing the yield of usable pieces from boards and the like. 3,931,501, 1-6-76, Cl. 235-151.100. Manson, A. R.; Barr, A. J.; Goodnight, J. H. (1975), ""Optimum Zero-Memory Strategy and Exact Probabilities for 4-Deck Blackjack"", The American Statistician, 29 (2): 84–88, doi:10.1080/00031305.1975.10477376, Barr, A. J.; Goodnight, J. H.; Sall, J. P.; Helwig, J. H. (1977), SAS Programmers' Guide, Raleigh, North Carolina: SAS Institute, Inc. Barr, A. J. (1977), ""The Distribution and Maintenance of SAS"", Computer Sciences and Statistics: Tenth Annual Symposium on the Interface, NBS Special Publication 503: 215–220, Barr, A. J.; Goodnight, J. H.; Sall, J. P.; Helwig, J. T. (1976), A User's Guide to SAS 76, Raleigh, North Carolina: SAS Institute, Inc., ISBN 978-0-917382-01-7, Barr, A. J. (1978), ""Data Management in SAS and Interfaces to Other Systems"", Proceedings of the Computer Science and Statistics: Eleventh Annual Symposium on the Interface, Institute of Statistics, North Carolina State University: 261–264 Barr was born in New York City and grew up in Summit, New Jersey,[13] where he graduated from Summit High School in 1958.[14][15]
Growing up, he was inspired by the biographies of Ben Franklin, Marconi, Alexander Graham Bell, Wright Brothers, and Sikorsky as well as visits to the Franklin Institute in Philadelphia and the Museum of Natural History in New York City. In 2021, Barr and his wife Olga donated $1M to the Cade Museum for Creativity and Invention to support the museum's youth programming.[16] BS in Applied Physics (with honors), North Carolina State University, 1962., MS in Physics, North Carolina State University, 1968.
1963 National Science Foundation Fellowship to study physical oceanography at Woods Hole Oceanographic Institution.
1963 National Science Foundation Graduate Fellowship at North Carolina State University.
1995 Distinguished Alumnus, North Carolina State University, College of Physical and Mathematical Sciences., 1963 National Science Foundation Fellowship to study physical oceanography at Woods Hole Oceanographic Institution., 1963 National Science Foundation Graduate Fellowship at North Carolina State University., 1995 Distinguished Alumnus, North Carolina State University, College of Physical and Mathematical Sciences. 1963 National Science Foundation Fellowship to study physical oceanography at Woods Hole Oceanographic Institution., 1963 National Science Foundation Graduate Fellowship at North Carolina State University., 1995 Distinguished Alumnus, North Carolina State University, College of Physical and Mathematical Sciences.",0
Bartik,4,"Born Betty Jean Jennings in Gentry County, Missouri in 1924,[2] she was the sixth of seven children. Her father, William Smith Jennings (1893–1971) was from Alanthus Grove, where he was a schoolteacher as well as a farmer. Her mother, Lula May Spainhower (1887–1988) was from Alanthus. Jennings had three older brothers, William (January 10, 1915) Robert (March 15, 1918); and Raymond (January 23, 1922); two older sisters, Emma (August 11, 1916) and Lulu (August 22, 1919), and one younger sister, Mable (December 15, 1928).[3][4][5] In her childhood, she would ride on horseback to visit her grandmother, who bought the young girl a newspaper to read every day and became a role model for the rest of her life.[2] She began her education at a local one-room school, and gained local attention for her softball skill. In order to attend high school, she lived with her older sister in the neighboring town, where the school was located, and then began to drive every day despite being only 14. She graduated from Stanberry High School in 1941, aged 16.[6][7][8] She was given the title of salutatorian on her graduation.[9] She attended Northwest Missouri State Teachers College now known Northwest Missouri State University, majoring in mathematics with a minor in English and graduated in 1945.[10] Jennings was awarded the only mathematics degree in her class.[3] Although she had originally intended to study journalism, she decided to change to mathematics because she had a bad relationship with her adviser.[11] Later in her life, she earned a master's degree in English at the University of Pennsylvania in 1967 and was awarded an honorary doctorate degree from Northwest Missouri State University in 2002.[3][12]",0
Barto,2,"Barto received his B.S. with distinction in mathematics from the University of Michigan in 1970, after having initially majored in naval architecture and engineering. After reading work by Michael Arbib and McCulloch and Pitts he became interested in using computers and mathematics to model the brain, and five years later was awarded a Ph.D. in computer science for a thesis on cellular automata.[2]",2
Bauer,1,Education information not found,182
Bayer,0,Education information not found,85
Bell,1,"Gordon Bell was born in Kirksville, Missouri. He grew up helping with the family business, Bell Electric, repairing appliances and wiring homes.[1][2]
[3] Bell received a BS (1956), and MS (1957) in electrical engineering from MIT. He then went to the New South Wales University of Technology (now UNSW) in Australia on a Fulbright Scholarship in 1957-58, where he taught classes on computer design, programmed one of the first computers to arrive in Australia (called UTECOM, an English Electric DEUCE), and published his first academic paper. Returning to the US, he worked in the MIT Speech Computation Laboratory under Professor Ken Stevens, where he wrote the first analysis by synthesis program.",77
Bellovin,4,Education information not found,167
Berdichevsky,0,Education information not found,1
Berners-Lee,2,Education information not found,74
Bernstein,0,Education information not found,198
Bernus,0,Education information not found,71
Bezos,1,"Jeffrey Preston Jorgensen was born on January 12, 1964, in Albuquerque, New Mexico,[7] as the son of Jacklyn (née Gise) and Ted Jorgensen.[8] At the time of Jeff's birth, his mother was a 17-year-old high-school student and his father was 19-years-old.[9] Jorgensen was a Danish American unicyclist[10] born in Chicago to a family of Baptists.[11] After completing high school despite challenging conditions, Jacklyn attended night school, bringing her baby with her.[12] Jeff attended a Montessori school in Albuquerque when he was 2 years old.[13] Ted Jorgensen drank and struggled financially.[14] Jacklyn left her husband to live with her parents, filing for divorce in June 1965 when Jeff was 17 months old.[15] After his parents divorced, his mother married Cuban immigrant Miguel ""Mike"" Bezos in April 1968.[16] Shortly after the wedding, Mike adopted four-year-old Jeff, whose surname was then legally changed from Jorgensen to Bezos.[17] Gise, her husband and her son left the area and asked Jorgensen to discontinue contact, to which he agreed.[18] After Mike had received his degree from the University of New Mexico, the family moved to Houston, Texas, so that he could begin working as an engineer for Exxon.[19] Jeff attended River Oaks Elementary School in Houston from fourth to sixth grade.[20] Jeff's maternal grandfather was Lawrence Preston Gise, a regional director of the U.S. Atomic Energy Commission (AEC) in Albuquerque.[21] Lawrence retired early to his family's ranch near Cotulla, Texas, where Jeff would spend many summers in his youth.[22] Jeff would later purchase this ranch and expand it from 25,000 acres (10,117 ha) to 300,000 acres (121,406 ha).[23][24] Jeff displayed scientific interests and technological proficiency and once rigged an electric alarm to keep his younger siblings out of his room.[25][26] The family moved to Miami, Florida, where Jeff attended Miami Palmetto High School.[27][28] While Jeff was in high school, he worked at McDonald's as a short-order line cook during the breakfast shift.[29] Bezos attended the Student Science Training Program at the University of Florida. He was high school valedictorian, a National Merit Scholar,[30][31] and a Silver Knight Award winner in 1982.[30] In his graduation speech, Bezos told the audience he dreamed of the day when mankind would colonize space. A local newspaper quoted his intention ""to get all people off the earth and see it turned into a huge national park"".[32] After graduating from high school in 1982, Bezos attended Princeton University. He initially majored in physics but later switched to electrical engineering and computer science.[33] Bezos was a member of the Quadrangle Club, one of Princeton's 11 eating clubs.[34] In addition, he was the president of the Princeton chapter of the Students for the Exploration and Development of Space (SEDS).[35][36] He had a 4.2 GPA and was elected to Phi Beta Kappa and Tau Beta Pi. Bezos graduated from Princeton in 1986 with a Bachelor of Science in Engineering (BSE), summa cum laude.[37]",0
Bhushan,0,Education information not found,0
Bjørner,5,Education information not found,98
Blaauw,0,Education information not found,0
Black,0,Education information not found,12
Blei,1,Education information not found,0
Blum,0,Education information not found,0
Blum,4,"Blum was born to a Jewish family in New York City, where her mother was a science teacher.[3] They moved to Venezuela when Blum was nine.
After graduating from her Venezuelan high school at age 16, she studied architecture at Carnegie Institute of Technology (now Carnegie Mellon University) beginning in 1959.[4][5] With the assistance of Alan Perlis, she shifted fields to mathematics in 1960.[6] She married Manuel Blum, then a student at the Massachusetts Institute of Technology, and transferred in 1961 to Simmons College, a private women's liberal arts college in Boston.[4][5] Simmons did not have a strong mathematics program but she was eventually able to take Isadore Singer's mathematics classes at MIT,[7] graduating from Simmons with a B.S. in mathematics in 1963.[8][9] She received her Ph.D. in mathematics from the Massachusetts Institute of Technology in 1968.   Her dissertation, Generalized Algebraic Theories: A Model Theoretic Approach, was supervised by Gerald Sacks.[10] She had switched to being advised by Sacks after being unable to follow an earlier advisor in his move to Princeton University because, at the time, Princeton did not accept female graduate students.[4]",23
Blum,3,"Blum was born to a Jewish family in Venezuela.[9] Blum was educated at MIT, where he received his bachelor's degree and his master's degree in electrical engineering in 1959 and 1961 respectively, and his Ph.D. in mathematics in 1964 supervised by Marvin Minsky.[1][7]",84
Boehm,3,Education information not found,0
Böhm,0,Education information not found,30
Bollacker,0,Education information not found,0
Bonwick,0,Education information not found,6
Booch,1,"Booch earned his bachelor's degree in 1977 from the United States Air Force Academy and a master's degree in electrical engineering in 1979 from the University of California, Santa Barbara.[8]",129
Boole,1,Education information not found,0
Booth,0,Education information not found,13
Booth,0,"Kathleen Britten was born in Stourbridge, Worcestershire, England,[2] on 9 July 1922.[3][4] She obtained a BSc in mathematics from the University of London in 1944 and went on to get a PhD in Applied Mathematics in 1950. She married her colleague Andrew Donald Booth in 1950 and had two children.[5]",0
Borg,4,"Borg was born Anita Borg Naffz in Chicago, Illinois. She grew up in Palatine, Illinois; Kaneohe, Hawaii; and Mukilteo, Washington.[3] Borg got her first programming job in 1969. Although she loved math while growing up, she did not originally intend to go into computer science and taught herself how to program while working at a small insurance company.[4] She was awarded a PhD in Computer Science by New York University in 1981 for research investigating the synchronization efficiency of operating systems supervised by Robert Dewar and Gerald Belpaire.[1] She died from brain cancer, in Sonoma, California on 6 April 2003.[5]",16
Bos,0,Education information not found,34
Botvinnik,0,Education information not found,0
Bowen,5,"Bowen was born in Oxford, the son of Humphry Bowen,[6] and was educated at the Dragon School, Bryanston School, prior to his matriculation at University College, Oxford (Oxford University) where he received the MA degree in Engineering Science.[6]",0
Bourne,0,Education information not found,9
Bouwman,0,Education information not found,125
Boyer,0,Education information not found,36
Brandenburg,0,Education information not found,25
Brassard,3,"Brassard received a Ph.D. in Computer Science from Cornell University in 1979, working in the field of cryptography with John Hopcroft as his advisor.[1]",133
Breed,3,Education information not found,10
Bresenham,0,Education information not found,0
Brin,2,"Sergey Mikhailovich Brin was born on August 21, 1973, in Moscow in the Soviet Union,[4] to Russian Jewish parents,[5] Mikhail and Eugenia Brin, both graduates of Moscow State University (MSU).[6] His father is a retired mathematics professor at the University of Maryland, and his mother is a researcher at NASA's Goddard Space Flight Center.[7][8] The Brin family lived in a three-room apartment in central Moscow, which they also shared with Sergey's paternal grandmother.[7] In 1977, after his father returned from a mathematics conference in Warsaw, Poland, Mikhail Brin announced that it was time for the family to emigrate.[7] They formally applied for their exit visa in September 1978, and as a result, his father was ""promptly fired"". For related reasons, his mother had to leave her job. For the next eight months, without any steady income, they were forced to take on temporary jobs as they waited, afraid their request would be denied as it was for many refuseniks. In May 1979, they were granted their official exit visas and were allowed to leave the country.[7] The Brin family lived in Vienna and Paris while Mikhail Brin secured a teaching position at the University of Maryland with help from Anatole Katok. During this time, the Brin family received support and assistance from the Hebrew Immigrant Aid Society. They arrived in the United States on October 25, 1979.[7][9] Brin attended elementary school at Paint Branch Montessori School in Adelphi, Maryland, but he received further education at home; his father, a professor in the department of mathematics at the University of Maryland, encouraged him to learn mathematics and his family helped him retain his Russian-language skills. He attended Eleanor Roosevelt High School, Maryland. In September 1990, Brin enrolled in the University of Maryland, where he received his Bachelor of Science from the Department of Computer Science in 1993 with honors in computer science and mathematics at the age of 19.[10] In 1993, he interned at Wolfram Research, the developers of Mathematica.[10] Brin began his graduate study in computer science at Stanford University on a graduate fellowship from the National Science Foundation, receiving an M.S. in computer science in 1995.[11] As of 2008[update], he was on leave from his PhD studies at Stanford.[12]",15
Brown,0,Education information not found,87
